ID,Prob1
185, 0.40
186, 0.27
187, 0.29
188, 0.24
189, 0.23
190, 0.26
191, 0.51
192, 0.26
193, 0.49
194, 0.37
195, 0.32
196, 0.30
197, 0.37
198, 0.66
199, 0.60
200, 0.30
201, 0.37
202, 0.32
203, 0.49
204, 0.22
205, 0.22
206, 0.22
207, 0.30
208, 0.26
209, 0.24
210, 0.34
211, 0.28
212, 0.51
213, 0.34
214, 0.26
215, 0.24
216, 0.58
217, 0.40
218, 0.49
219, 0.56
220, 0.29
221, 0.32
222, 0.51
223, 0.40
224, 0.40
225, 0.30
226, 0.66
227, 0.31
228, 0.32
229, 0.40
230, 0.35
231, 0.60
232, 0.28
233, 0.26
234, 0.23
235, 0.30
236, 0.23
237, 0.28
238, 0.26
239, 0.30
240, 0.43
241, 0.22
242, 0.33
243, 0.45
244, 0.22
245, 0.37
246, 0.29
247, 0.31
248, 0.33
249, 0.42
250, 0.34
251, 0.65
252, 0.31
253, 0.30
254, 0.28
255, 0.51
256, 0.66
257, 0.40
258, 0.56
259, 0.66
260, 0.23
261, 0.34
262, 0.30
263, 0.29
264, 0.51
265, 0.33
266, 0.23
267, 0.23
268, 0.29
269, 0.17
270, 0.22
271, 0.31
272, 0.37
273, 0.29
274, 0.62
275, 0.30
276, 0.30
277, 0.33
278, 0.25
279, 0.31
280, 0.30
281, 0.29
282, 0.33
283, 0.30
284, 0.37
285, 0.33
286, 0.26
287, 0.24
288, 0.33
289, 0.29
290, 0.52
291, 0.23
292, 0.24
293, 0.26
294, 0.30
295, 0.29
296, 0.37
297, 0.36
298, 0.40
299, 0.33
300, 0.24
301, 0.23
302, 0.40
303, 0.24
304, 0.22
305, 0.24
306, 0.23
307, 0.24
308, 0.24
309, 0.24
310, 0.34
311, 0.30
312, 0.23
313, 0.30
314, 0.58
315, 0.33
316, 0.23
317, 0.26
318, 0.24
319, 0.33
320, 0.29
321, 0.24
322, 0.23
323, 0.24
324, 0.26
325, 0.26
326, 0.26
327, 0.33
328, 0.43
329, 0.39
330, 0.58
331, 0.33
332, 0.33
333, 0.26
334, 0.34
335, 0.25
336, 0.29
337, 0.34
338, 0.40
339, 0.24
340, 0.47
341, 0.51
342, 0.32
343, 0.29
344, 0.40
345, 0.24
346, 0.24
347, 0.23
348, 0.35
349, 0.25
350, 0.35
351, 0.29
352, 0.30
353, 0.24
354, 0.28
355, 0.23
356, 0.55
357, 0.37
358, 0.24
359, 0.34
360, 0.40
361, 0.40
362, 0.24
363, 0.33
364, 0.29
365, 0.51
366, 0.48
367, 0.27
368, 0.29
369, 0.40
370, 0.26
371, 0.32
372, 0.29
373, 0.27
374, 0.37
375, 0.40
376, 0.58
377, 0.30
378, 0.23
379, 0.51
380, 0.60
381, 0.23
382, 0.24
383, 0.23
384, 0.58
385, 0.26
386, 0.28
387, 0.28
388, 0.30
389, 0.54
390, 0.29
391, 0.23
392, 0.27
393, 0.66
394, 0.33
395, 0.24
396, 0.25
397, 0.26
398, 0.30
399, 0.22
400, 0.24
401, 0.29
402, 0.58
403, 0.30
404, 0.30
405, 0.24
406, 0.26
407, 0.30
408, 0.30
409, 0.36
410, 0.26
411, 0.25
412, 0.24
413, 0.51
414, 0.30
415, 0.37
416, 0.26
417, 0.34
418, 0.22
419, 0.29
420, 0.60
421, 0.40
422, 0.31
423, 0.33
424, 0.30
425, 0.24
426, 0.29
427, 0.22
428, 0.34
429, 0.66
430, 0.44
431, 0.51
432, 0.26
433, 0.34
434, 0.34
435, 0.33
436, 0.51
437, 0.30
438, 0.56
439, 0.29
440, 0.32
441, 0.29
442, 0.24
443, 0.26
444, 0.29
445, 0.26
446, 0.30
447, 0.30
448, 0.29
449, 0.28
450, 0.66
451, 0.30
452, 0.30
453, 0.58
454, 0.32
455, 0.65
456, 0.31
457, 0.24
458, 0.32
459, 0.33
460, 0.23
461, 0.38
462, 0.26
463, 0.51
464, 0.23
465, 0.34
466, 0.52
467, 0.40
468, 0.26
469, 0.30
470, 0.37
471, 0.33
472, 0.33
473, 0.33
474, 0.30
475, 0.60
476, 0.23
477, 0.22
478, 0.28
479, 0.58
480, 0.22
481, 0.24
482, 0.29
483, 0.37
484, 0.40
485, 0.58
486, 0.32
487, 0.40
488, 0.37
489, 0.24
490, 0.20
491, 0.66
492, 0.26
493, 0.30
494, 0.30
495, 0.32
496, 0.30
497, 0.33
498, 0.51
499, 0.22
500, 0.24
501, 0.26
502, 0.66
503, 0.29
504, 0.24
505, 0.29
506, 0.28
507, 0.40
508, 0.34
509, 0.32
510, 0.24
511, 0.28
512, 0.28
513, 0.66
514, 0.23
515, 0.37
516, 0.35
517, 0.56
518, 0.66
519, 0.30
520, 0.24
521, 0.58
522, 0.34
523, 0.30
524, 0.32
525, 0.61
526, 0.66
527, 0.44
528, 0.23
529, 0.23
530, 0.24
531, 0.29
532, 0.33
533, 0.29
534, 0.34
535, 0.23
536, 0.39
537, 0.24
538, 0.32
539, 0.34
540, 0.32
541, 0.52
542, 0.26
543, 0.47
544, 0.29
545, 0.58
546, 0.30
547, 0.23
548, 0.22
549, 0.29
550, 0.31
551, 0.30
552, 0.29
553, 0.43
554, 0.30
555, 0.22
556, 0.34
557, 0.43
558, 0.33
559, 0.66
560, 0.23
561, 0.24
562, 0.26
563, 0.22
564, 0.26
565, 0.23
566, 0.22
567, 0.24
568, 0.40
569, 0.66
570, 0.22
571, 0.60
572, 0.24
573, 0.28
574, 0.51
575, 0.37
576, 0.29
577, 0.29
578, 0.24
579, 0.24
580, 0.26
581, 0.56
582, 0.26
583, 0.34
584, 0.25
585, 0.24
586, 0.29
587, 0.26
588, 0.43
589, 0.24
590, 0.51
591, 0.24
592, 0.28
593, 0.29
594, 0.37
595, 0.23
596, 0.51
597, 0.31
598, 0.51
599, 0.40
600, 0.40
601, 0.33
602, 0.34
603, 0.26
604, 0.49
605, 0.29
606, 0.58
607, 0.26
608, 0.32
609, 0.37
610, 0.58
611, 0.58
612, 0.24
613, 0.34
614, 0.51
615, 0.60
616, 0.51
617, 0.32
618, 0.66
619, 0.23
620, 0.29
621, 0.24
622, 0.57
623, 0.37
624, 0.30
625, 0.32
626, 0.20
627, 0.29
628, 0.28
629, 0.37
630, 0.33
631, 0.22
632, 0.60
633, 0.37
634, 0.61
635, 0.40
636, 0.66
637, 0.66
638, 0.30
639, 0.33
640, 0.23
641, 0.24
642, 0.29
643, 0.30
644, 0.26
645, 0.47
646, 0.37
647, 0.28
648, 0.22
649, 0.51
650, 0.34
651, 0.24
652, 0.40
653, 0.29
654, 0.58
655, 0.38
656, 0.32
657, 0.33
658, 0.25
659, 0.28
660, 0.66
661, 0.29
662, 0.23
663, 0.30
664, 0.33
665, 0.35
666, 0.29
667, 0.23
668, 0.26
669, 0.28
670, 0.24
671, 0.32
672, 0.29
673, 0.47
674, 0.24
675, 0.23
676, 0.60
677, 0.24
678, 0.24
679, 0.60
680, 0.26
681, 0.29
682, 0.23
683, 0.30
684, 0.24
685, 0.37
686, 0.27
687, 0.24
688, 0.24
689, 0.24
690, 0.34
691, 0.66
692, 0.29
693, 0.26
694, 0.30
695, 0.27
696, 0.24
697, 0.24
698, 0.66
699, 0.30
700, 0.33
701, 0.30
702, 0.60
703, 0.60
704, 0.31
705, 0.42
706, 0.40
707, 0.23
708, 0.37
709, 0.40
710, 0.60
711, 0.34
712, 0.26
713, 0.31
714, 0.26
715, 0.32
716, 0.66
717, 0.66
718, 0.66
719, 0.37
720, 0.33
721, 0.30
722, 0.24
723, 0.31
724, 0.26
725, 0.24
726, 0.33
727, 0.24
728, 0.37
729, 0.37
730, 0.22
731, 0.40
732, 0.51
733, 0.34
734, 0.33
735, 0.26
736, 0.29
737, 0.30
738, 0.40
739, 0.49
740, 0.32
741, 0.24
742, 0.40
743, 0.33
744, 0.32
745, 0.33
746, 0.31
747, 0.29
748, 0.33
749, 0.40
750, 0.24
751, 0.37
752, 0.29
753, 0.31
754, 0.66
755, 0.35
756, 0.33
757, 0.55
758, 0.40
759, 0.23
760, 0.42
761, 0.24
762, 0.34
763, 0.66
764, 0.26
765, 0.26
766, 0.51
767, 0.26
768, 0.28
769, 0.24
770, 0.33
771, 0.33
772, 0.26
773, 0.24
774, 0.56
775, 0.31
776, 0.33
777, 0.26
778, 0.32
779, 0.29
780, 0.66
781, 0.28
782, 0.29
783, 0.31
784, 0.33
785, 0.23
786, 0.30
787, 0.32
788, 0.23
789, 0.30
790, 0.30
791, 0.40
792, 0.22
793, 0.40
794, 0.26
795, 0.40
796, 0.30
797, 0.40
798, 0.29
799, 0.31
800, 0.66
801, 0.30
802, 0.51
803, 0.36
804, 0.62
805, 0.33
806, 0.30
807, 0.35
808, 0.37
809, 0.33
810, 0.40
811, 0.51
812, 0.33
813, 0.40
814, 0.23
815, 0.30
816, 0.24
817, 0.29
818, 0.40
819, 0.23
820, 0.66
821, 0.24
822, 0.22
823, 0.28
824, 0.30
825, 0.24
826, 0.23
827, 0.35
828, 0.33
829, 0.26
830, 0.24
831, 0.26
832, 0.60
833, 0.40
834, 0.40
835, 0.40
836, 0.37
837, 0.22
838, 0.23
839, 0.24
840, 0.26
841, 0.37
842, 0.22
843, 0.26
844, 0.40
845, 0.66
846, 0.29
847, 0.49
848, 0.23
849, 0.23
850, 0.33
851, 0.22
852, 0.37
853, 0.40
854, 0.26
855, 0.26
856, 0.27
857, 0.29
858, 0.23
859, 0.23
860, 0.29
861, 0.58
862, 0.30
863, 0.29
864, 0.26
865, 0.29
866, 0.26
867, 0.29
868, 0.23
869, 0.26
870, 0.30
871, 0.24
872, 0.66
873, 0.51
874, 0.23
875, 0.58
876, 0.28
877, 0.34
878, 0.32
879, 0.23
880, 0.43
881, 0.29
882, 0.23
883, 0.20
884, 0.37
885, 0.66
886, 0.35
887, 0.22
888, 0.51
889, 0.31
890, 0.57
891, 0.23
892, 0.32
893, 0.24
894, 0.26
895, 0.51
896, 0.37
897, 0.34
898, 0.51
899, 0.66
900, 0.47
901, 0.30
902, 0.33
903, 0.56
904, 0.33
905, 0.32
906, 0.66
907, 0.66
908, 0.37
909, 0.24
910, 0.30
911, 0.23
912, 0.25
913, 0.30
914, 0.66
915, 0.23
916, 0.24
917, 0.23
918, 0.26
919, 0.29
920, 0.34
921, 0.24
922, 0.40
923, 0.30
924, 0.25
925, 0.23
926, 0.37
927, 0.33
928, 0.29
929, 0.24
930, 0.51
931, 0.30
932, 0.24
933, 0.33
934, 0.40
935, 0.30
936, 0.28
937, 0.40
938, 0.52
939, 0.24
940, 0.40
941, 0.35
942, 0.37
943, 0.24
944, 0.26
945, 0.32
946, 0.56
947, 0.65
948, 0.47
949, 0.24
950, 0.60
951, 0.33
952, 0.65
953, 0.56
954, 0.30
955, 0.66
956, 0.24
957, 0.40
958, 0.27
959, 0.30
960, 0.40
961, 0.30
962, 0.23
963, 0.30
964, 0.40
965, 0.30
966, 0.24
967, 0.29
968, 0.22
969, 0.32
970, 0.40
971, 0.32
972, 0.29
973, 0.35
974, 0.51
975, 0.30
976, 0.26
977, 0.37
978, 0.40
979, 0.58
980, 0.32
981, 0.23
982, 0.24
983, 0.58
984, 0.37
985, 0.23
986, 0.40
987, 0.30
988, 0.31
989, 0.30
990, 0.55
991, 0.22
992, 0.28
993, 0.60
994, 0.33
995, 0.24
996, 0.23
997, 0.24
998, 0.60
999, 0.22
1000, 0.29
1001, 0.24
1002, 0.40
1003, 0.66
1004, 0.33
1005, 0.37
1006, 0.26
1007, 0.23
1008, 0.34
1009, 0.24
1010, 0.29
1011, 0.37
1012, 0.23
1013, 0.51
1014, 0.28
1015, 0.40
1016, 0.23
1017, 0.30
1018, 0.51
1019, 0.62
1020, 0.31
1021, 0.47
1022, 0.35
1023, 0.26
1024, 0.40
1025, 0.26
1026, 0.51
1027, 0.66
1028, 0.30
1029, 0.26
1030, 0.61
1031, 0.58
1032, 0.40
1033, 0.30
1034, 0.22
1035, 0.23
1036, 0.29
1037, 0.47
1038, 0.23
1039, 0.24
1040, 0.66
1041, 0.40
1042, 0.40
1043, 0.30
1044, 0.52
1045, 0.51
1046, 0.26
1047, 0.30
1048, 0.28
1049, 0.27
1050, 0.23
1051, 0.20
1052, 0.23
1053, 0.26
1054, 0.37
1055, 0.29
1056, 0.40
1057, 0.24
1058, 0.37
1059, 0.29
1060, 0.66
1061, 0.28
1062, 0.58
1063, 0.22
1064, 0.23
1065, 0.30
1066, 0.33
1067, 0.24
1068, 0.40
1069, 0.66
1070, 0.30
1071, 0.40
1072, 0.24
1073, 0.40
1074, 0.37
1075, 0.32
1076, 0.24
1077, 0.33
1078, 0.39
1079, 0.66
1080, 0.30
1081, 0.56
1082, 0.60
1083, 0.33
1084, 0.40
1085, 0.30
1086, 0.27
1087, 0.23
1088, 0.40
1089, 0.66
1090, 0.22
1091, 0.30
1092, 0.40
1093, 0.40
1094, 0.23
1095, 0.37
1096, 0.33
1097, 0.24
1098, 0.31
1099, 0.22
1100, 0.24
1101, 0.24
1102, 0.37
1103, 0.33
1104, 0.49
1105, 0.29
1106, 0.23
1107, 0.32
1108, 0.33
1109, 0.57
1110, 0.40
1111, 0.66
1112, 0.24
1113, 0.37
1114, 0.24
1115, 0.33
1116, 0.23
1117, 0.23
1118, 0.30
1119, 0.28
1120, 0.51
1121, 0.58
1122, 0.24
1123, 0.32
1124, 0.25
1125, 0.66
1126, 0.34
1127, 0.28
1128, 0.66
1129, 0.60
1130, 0.28
1131, 0.34
1132, 0.24
1133, 0.22
1134, 0.29
1135, 0.24
1136, 0.26
1137, 0.24
1138, 0.49
1139, 0.33
1140, 0.30
1141, 0.22
1142, 0.40
1143, 0.27
1144, 0.34
1145, 0.66
1146, 0.24
1147, 0.30
1148, 0.40
1149, 0.24
1150, 0.60
1151, 0.24
1152, 0.26
1153, 0.32
1154, 0.27
1155, 0.23
1156, 0.66
1157, 0.30
1158, 0.34
1159, 0.29
1160, 0.32
1161, 0.37
1162, 0.32
1163, 0.26
1164, 0.29
1165, 0.30
1166, 0.42
1167, 0.22
1168, 0.25
1169, 0.51
1170, 0.29
1171, 0.29
1172, 0.24
1173, 0.30
1174, 0.32
1175, 0.26
1176, 0.24
1177, 0.33
1178, 0.29
1179, 0.22
1180, 0.28
1181, 0.37
1182, 0.23
1183, 0.22
1184, 0.30
1185, 0.37
1186, 0.66
1187, 0.31
1188, 0.30
1189, 0.51
1190, 0.34
1191, 0.26
1192, 0.30
1193, 0.30
1194, 0.39
1195, 0.40
1196, 0.23
1197, 0.58
1198, 0.28
1199, 0.33
1200, 0.33
1201, 0.37
1202, 0.29
1203, 0.23
1204, 0.22
1205, 0.30
1206, 0.39
1207, 0.58
1208, 0.26
1209, 0.40
1210, 0.30
1211, 0.26
1212, 0.32
1213, 0.40
1214, 0.33
1215, 0.37
1216, 0.23
1217, 0.29
1218, 0.25
1219, 0.29
1220, 0.25
1221, 0.22
1222, 0.29
1223, 0.25
1224, 0.27
1225, 0.49
1226, 0.32
1227, 0.22
1228, 0.30
1229, 0.58
1230, 0.58
1231, 0.27
1232, 0.27
1233, 0.37
1234, 0.28
1235, 0.24
1236, 0.31
1237, 0.66
1238, 0.37
1239, 0.28
1240, 0.60
1241, 0.24
1242, 0.26
1243, 0.26
1244, 0.30
1245, 0.40
1246, 0.34
1247, 0.33
1248, 0.29
1249, 0.26
1250, 0.22
1251, 0.26
1252, 0.40
1253, 0.33
1254, 0.30
1255, 0.32
1256, 0.24
1257, 0.60
1258, 0.24
1259, 0.29
1260, 0.14
1261, 0.27
1262, 0.26
1263, 0.66
1264, 0.22
1265, 0.23
1266, 0.32
1267, 0.26
1268, 0.24
1269, 0.39
1270, 0.49
1271, 0.66
1272, 0.51
1273, 0.51
1274, 0.40
1275, 0.31
1276, 0.24
1277, 0.33
1278, 0.51
1279, 0.35
1280, 0.27
1281, 0.28
1282, 0.41
1283, 0.37
1284, 0.33
1285, 0.26
1286, 0.32
1287, 0.66
1288, 0.47
1289, 0.17
1290, 0.51
1291, 0.32
1292, 0.26
1293, 0.24
1294, 0.36
1295, 0.57
1296, 0.40
1297, 0.23
1298, 0.23
1299, 0.23
1300, 0.43
1301, 0.40
1302, 0.29
1303, 0.24
1304, 0.26
1305, 0.32
1306, 0.29
1307, 0.24
1308, 0.24
1309, 0.28
1310, 0.26
1311, 0.40
1312, 0.23
1313, 0.25
1314, 0.30
1315, 0.36
1316, 0.40
1317, 0.23
1318, 0.49
1319, 0.24
1320, 0.26
1321, 0.24
1322, 0.28
1323, 0.66
1324, 0.51
1325, 0.40
1326, 0.40
1327, 0.39
1328, 0.33
1329, 0.26
1330, 0.60
1331, 0.66
1332, 0.52
1333, 0.33
1334, 0.23
1335, 0.26
1336, 0.23
1337, 0.37
1338, 0.37
1339, 0.30
1340, 0.26
1341, 0.27
1342, 0.40
1343, 0.24
1344, 0.27
1345, 0.40
1346, 0.66
1347, 0.31
1348, 0.47
1349, 0.27
1350, 0.23
1351, 0.66
1352, 0.66
1353, 0.36
1354, 0.66
1355, 0.46
1356, 0.29
1357, 0.24
1358, 0.25
1359, 0.30
1360, 0.29
1361, 0.32
1362, 0.30
1363, 0.24
1364, 0.25
1365, 0.26
1366, 0.24
1367, 0.22
1368, 0.34
1369, 0.36
1370, 0.37
1371, 0.51
1372, 0.33
1373, 0.40
1374, 0.34
1375, 0.34
1376, 0.60
1377, 0.28
1378, 0.30
1379, 0.26
1380, 0.33
1381, 0.22
1382, 0.40
1383, 0.22
1384, 0.23
1385, 0.32
1386, 0.24
1387, 0.28
1388, 0.33
1389, 0.30
1390, 0.30
1391, 0.29
1392, 0.25
1393, 0.24
1394, 0.24
1395, 0.51
1396, 0.47
1397, 0.32
1398, 0.26
1399, 0.24
1400, 0.33
1401, 0.24
1402, 0.44
1403, 0.34
1404, 0.40
1405, 0.39
1406, 0.45
1407, 0.37
1408, 0.30
1409, 0.26
1410, 0.30
1411, 0.24
1412, 0.22
1413, 0.29
1414, 0.22
1415, 0.23
1416, 0.24
1417, 0.29
1418, 0.51
1419, 0.66
1420, 0.34
1421, 0.31
1422, 0.66
1423, 0.23
1424, 0.24
1425, 0.32
1426, 0.33
1427, 0.58
1428, 0.30
1429, 0.27
1430, 0.29
1431, 0.40
1432, 0.33
1433, 0.30
1434, 0.42
1435, 0.66
1436, 0.58
1437, 0.30
1438, 0.34
1439, 0.32
1440, 0.26
1441, 0.40
1442, 0.51
1443, 0.26
1444, 0.34
1445, 0.24
1446, 0.34
1447, 0.29
1448, 0.26
1449, 0.28
1450, 0.32
1451, 0.40
1452, 0.28
1453, 0.29
1454, 0.37
1455, 0.26
1456, 0.37
1457, 0.60
1458, 0.28
1459, 0.27
1460, 0.23
1461, 0.24
1462, 0.44
1463, 0.29
1464, 0.29
1465, 0.25
1466, 0.34
1467, 0.23
1468, 0.24
1469, 0.20
1470, 0.37
1471, 0.30
1472, 0.24
1473, 0.23
1474, 0.33
1475, 0.24
1476, 0.44
1477, 0.24
1478, 0.22
1479, 0.29
1480, 0.40
1481, 0.24
1482, 0.24
1483, 0.60
1484, 0.40
1485, 0.32
1486, 0.24
1487, 0.39
1488, 0.24
1489, 0.37
1490, 0.33
1491, 0.66
1492, 0.26
1493, 0.26
1494, 0.39
1495, 0.24
1496, 0.22
1497, 0.23
1498, 0.24
1499, 0.24
1500, 0.65
1501, 0.65
1502, 0.30
1503, 0.40
1504, 0.37
1505, 0.30
1506, 0.23
1507, 0.32
1508, 0.33
1509, 0.40
1510, 0.37
1511, 0.37
1512, 0.37
1513, 0.51
1514, 0.30
1515, 0.23
1516, 0.29
1517, 0.29
1518, 0.51
1519, 0.30
1520, 0.40
1521, 0.23
1522, 0.29
1523, 0.34
1524, 0.23
1525, 0.30
1526, 0.26
1527, 0.29
1528, 0.22
1529, 0.52
1530, 0.26
1531, 0.37
1532, 0.49
1533, 0.32
1534, 0.30
1535, 0.51
1536, 0.60
1537, 0.32
1538, 0.28
1539, 0.30
1540, 0.33
1541, 0.24
1542, 0.23
1543, 0.22
1544, 0.66
1545, 0.20
1546, 0.29
1547, 0.29
1548, 0.32
1549, 0.26
1550, 0.23
1551, 0.33
1552, 0.31
1553, 0.29
1554, 0.29
1555, 0.24
1556, 0.30
1557, 0.26
1558, 0.24
1559, 0.33
1560, 0.33
1561, 0.24
1562, 0.24
1563, 0.30
1564, 0.24
1565, 0.34
1566, 0.26
1567, 0.51
1568, 0.29
1569, 0.48
1570, 0.29
1571, 0.30
1572, 0.23
1573, 0.23
1574, 0.40
1575, 0.26
1576, 0.22
1577, 0.30
1578, 0.33
1579, 0.23
1580, 0.27
1581, 0.37
1582, 0.23
1583, 0.43
1584, 0.30
1585, 0.42
1586, 0.23
1587, 0.23
1588, 0.26
1589, 0.66
1590, 0.37
1591, 0.23
1592, 0.28
1593, 0.26
1594, 0.14
1595, 0.27
1596, 0.60
1597, 0.26
1598, 0.26
1599, 0.40
1600, 0.29
1601, 0.58
1602, 0.24
1603, 0.26
1604, 0.23
1605, 0.23
1606, 0.39
1607, 0.40
1608, 0.23
1609, 0.24
1610, 0.51
1611, 0.25
1612, 0.36
1613, 0.30
1614, 0.33
1615, 0.37
1616, 0.66
1617, 0.26
1618, 0.24
1619, 0.23
1620, 0.29
1621, 0.66
1622, 0.25
1623, 0.51
1624, 0.29
1625, 0.37
1626, 0.26
1627, 0.30
1628, 0.34
1629, 0.40
1630, 0.26
1631, 0.26
1632, 0.30
1633, 0.40
1634, 0.33
1635, 0.27
1636, 0.32
1637, 0.40
1638, 0.29
1639, 0.26
1640, 0.32
1641, 0.66
1642, 0.28
1643, 0.30
1644, 0.40
1645, 0.66
1646, 0.40
1647, 0.66
1648, 0.49
1649, 0.66
1650, 0.25
1651, 0.28
1652, 0.26
1653, 0.66
1654, 0.66
1655, 0.66
1656, 0.26
1657, 0.58
1658, 0.22
1659, 0.33
1660, 0.39
1661, 0.24
1662, 0.33
1663, 0.24
1664, 0.33
1665, 0.26
1666, 0.24
1667, 0.28
1668, 0.40
1669, 0.66
1670, 0.31
1671, 0.26
1672, 0.40
1673, 0.40
1674, 0.24
1675, 0.37
1676, 0.23
1677, 0.40
1678, 0.40
1679, 0.23
1680, 0.29
1681, 0.29
1682, 0.40
1683, 0.26
1684, 0.23
1685, 0.66
1686, 0.60
1687, 0.66
1688, 0.39
1689, 0.22
1690, 0.37
1691, 0.29
1692, 0.66
1693, 0.51
1694, 0.24
1695, 0.30
1696, 0.40
1697, 0.24
1698, 0.24
1699, 0.23
1700, 0.30
1701, 0.24
1702, 0.40
1703, 0.31
1704, 0.26
1705, 0.40
1706, 0.66
1707, 0.40
1708, 0.33
1709, 0.32
1710, 0.46
1711, 0.66
1712, 0.40
1713, 0.23
1714, 0.32
1715, 0.66
1716, 0.40
1717, 0.29
1718, 0.49
1719, 0.40
1720, 0.35
1721, 0.37
1722, 0.37
1723, 0.33
1724, 0.37
1725, 0.56
1726, 0.37
1727, 0.32
1728, 0.24
1729, 0.66
1730, 0.58
1731, 0.26
1732, 0.29
1733, 0.26
1734, 0.66
1735, 0.29
1736, 0.33
1737, 0.26
1738, 0.30
1739, 0.60
1740, 0.33
1741, 0.31
1742, 0.31
1743, 0.40
1744, 0.29
1745, 0.40
1746, 0.26
1747, 0.30
1748, 0.40
1749, 0.40
1750, 0.24
1751, 0.31
1752, 0.40
1753, 0.37
1754, 0.29
1755, 0.30
1756, 0.51
1757, 0.23
1758, 0.29
1759, 0.23
1760, 0.23
1761, 0.25
1762, 0.23
1763, 0.30
1764, 0.30
1765, 0.37
1766, 0.66
1767, 0.31
1768, 0.24
1769, 0.24
1770, 0.23
1771, 0.40
1772, 0.33
1773, 0.22
1774, 0.40
1775, 0.40
1776, 0.38
1777, 0.33
1778, 0.33
1779, 0.27
1780, 0.40
1781, 0.24
1782, 0.33
1783, 0.29
1784, 0.29
1785, 0.29
1786, 0.40
1787, 0.22
1788, 0.28
1789, 0.26
1790, 0.23
1791, 0.33
1792, 0.26
1793, 0.26
1794, 0.28
1795, 0.26
1796, 0.30
1797, 0.52
1798, 0.24
1799, 0.28
1800, 0.31
1801, 0.26
1802, 0.25
1803, 0.66
1804, 0.30
1805, 0.35
1806, 0.24
1807, 0.23
1808, 0.40
1809, 0.37
1810, 0.24
1811, 0.23
1812, 0.37
1813, 0.22
1814, 0.40
1815, 0.30
1816, 0.26
1817, 0.33
1818, 0.47
1819, 0.23
1820, 0.47
1821, 0.29
1822, 0.33
1823, 0.24
1824, 0.66
1825, 0.37
1826, 0.22
1827, 0.51
1828, 0.23
1829, 0.24
1830, 0.28
1831, 0.26
1832, 0.22
1833, 0.23
1834, 0.37
1835, 0.24
1836, 0.26
1837, 0.33
1838, 0.51
1839, 0.65
1840, 0.29
1841, 0.56
1842, 0.33
1843, 0.37
1844, 0.33
1845, 0.31
1846, 0.58
1847, 0.30
1848, 0.49
1849, 0.37
1850, 0.37
1851, 0.32
1852, 0.33
1853, 0.29
1854, 0.32
1855, 0.51
1856, 0.36
1857, 0.28
1858, 0.44
1859, 0.37
1860, 0.23
1861, 0.23
1862, 0.34
1863, 0.40
1864, 0.28
1865, 0.28
1866, 0.27
1867, 0.23
1868, 0.33
1869, 0.55
1870, 0.22
1871, 0.34
1872, 0.23
